track_id,popularity,duration_ms,danceability,energy,key,loudness,speechiness,liveness,valence,time_signature,track_genre,is_happy_genre,is_sad_genre,high_valence,low_valence
5SuOikwiRyPMVoIQDJUgSV,73,230666,0.676,0.461,1,-6.746,0.143,0.358,0.715,4,acoustic,False,False,True,False
4qPNDBW1i3p13qLCt0Ki3A,55,149610,0.42,0.166,1,-17.235,0.0763,0.101,0.267,4,acoustic,False,False,False,True
1iJBSr7s7jYXzM8EGcbK5b,57,210826,0.438,0.359,0,-9.734,0.0557,0.117,0.12,4,acoustic,False,False,False,True
6lfxq3CG4xtTiEg7opyCyx,71,201933,0.266,0.0596,0,-18.515,0.0363,0.132,0.143,3,acoustic,False,False,False,True
5vjLSffimiIP26QG5WcN2K,82,198853,0.618,0.443,2,-9.681,0.0526,0.0829,0.167,4,acoustic,False,False,False,True
01MVOl9KtVTNfFiBU9I7dc,58,214240,0.688,0.481,6,-8.807,0.105,0.189,0.666,4,acoustic,False,False,True,False
6Vc5wAMmXdKIAM7WUoEb7N,74,229400,0.407,0.147,2,-8.822,0.0355,0.0913,0.0765,3,acoustic,False,False,False,True
1EzrEOXmMH3G43AXT1y7pA,80,242946,0.703,0.444,11,-9.331,0.0417,0.0973,0.712,4,acoustic,False,False,True,False
0IktbUcnAGrvD03AWnz3Q8,74,189613,0.625,0.414,0,-8.7,0.0369,0.151,0.669,4,acoustic,False,False,True,False
7k9GuJYLp2AzqokyEdwEw2,56,205594,0.442,0.632,1,-6.77,0.0295,0.0735,0.196,4,acoustic,False,False,False,True
4mzP5mHkRvGxdhdGdAH7EJ,74,244800,0.627,0.363,8,-8.127,0.0291,0.0928,0.301,4,acoustic,False,False,False,True
5ivF4eQBqJiVL5IAE9jRyl,69,240165,0.483,0.303,4,-10.058,0.0429,0.115,0.139,3,acoustic,False,False,False,True
4ptDJbJl35d7gQfeNteBwp,52,198712,0.489,0.314,7,-9.245,0.0331,0.113,0.607,4,acoustic,False,False,True,False
0X9MxHR1rTkEHDjp95F2OO,62,248448,0.691,0.234,3,-6.441,0.0285,0.12,0.209,4,acoustic,False,False,False,True
4LbWtBkN82ZRhz9jqzgrb3,56,188133,0.755,0.78,2,-6.084,0.0327,0.121,0.387,4,acoustic,False,False,False,True
1KHdq8NK9QxnGjdXb55NiG,58,244986,0.489,0.561,4,-7.933,0.0274,0.179,0.238,3,acoustic,False,False,False,True
6xKeQgzfjixSUld14qUezm,56,129750,0.706,0.112,2,-18.098,0.0391,0.125,0.414,4,acoustic,False,False,False,False
4Yo0igmcoNyat1secaH0OD,54,169728,0.795,0.0841,10,-18.09,0.0461,0.0853,0.609,4,acoustic,False,False,True,False
2qLMf6TuEC3ruGJg4SMMN6,68,189613,0.625,0.414,0,-8.7,0.0369,0.151,0.669,4,acoustic,False,False,True,False
6CgNoAbFJ4Q4Id4EjtbXlC,67,260186,0.717,0.32,3,-8.393,0.0283,0.107,0.322,4,acoustic,False,False,False,True
3S0OXQeoh0w6AY8WQVckRW,75,242946,0.703,0.444,11,-9.331,0.0417,0.0973,0.712,4,acoustic,False,False,True,False
210JCw2LbYD4YIs8GiZ9iP,63,174174,0.678,0.351,0,-8.654,0.0266,0.355,0.569,4,acoustic,False,False,False,False
5TvE3pk05pyFIGdSY9j4DJ,70,229400,0.407,0.147,2,-8.822,0.0355,0.0913,0.0765,3,acoustic,False,False,False,True
0BUuuEvNa5T4lMaewyiudB,0,216386,0.572,0.454,3,-10.286,0.0258,0.0974,0.515,4,acoustic,False,False,False,False
3Hn3LfhrQOaKihdCibJsTs,0,231266,0.796,0.667,5,-4.831,0.0392,0.221,0.754,4,acoustic,False,False,True,False
6D33wCKzWtNEgOovgeVJ7r,1,302346,0.755,0.454,9,-9.609,0.0352,0.236,0.33,4,acoustic,False,False,False,True
5IfCZDRXZrqZSm8AwE44PG,0,131760,0.62,0.309,5,-9.209,0.0495,0.146,0.664,4,acoustic,False,False,True,False
0dzKBptH2P5j5a0MifBMwM,0,273653,0.633,0.429,4,-6.784,0.0381,0.132,0.52,4,acoustic,False,False,False,False
